"Aidan Lagan","Q98271712","1979 United Kingdom general election","Mid Ulster","Alliance Party of Northern Ireland"
"Alan Day","Q98271715","2015 United Kingdom general election","Mid Ulster","UK Independence Party"
"Alan Millar",,,,
"Austin Kelly","Q98341889","1982 Northern Ireland Assembly election","South Antrim","Workers' Party of Ireland"
"Brendan McLaughlin",,,,
"Cora Groogan",,,,
"Desmond Gourley",,,,
"Douglas Cooper",,,,
"Elizabeth Forde",,,,
"Fay Watson","Q98271849","2017 United Kingdom general election","Mid Ulster","Alliance Party of Northern Ireland"
"Francie Donnelly","Q98266348","1979 European Parliament election in the United Kingdom","Northern Ireland","Workers' Party of Ireland"
"Francie Donnelly","Q98266348","1979 United Kingdom general election","Mid Ulster","Workers' Party of Ireland"
"Francie Donnelly","Q98266348","1983 United Kingdom general election","East Londonderry","Workers' Party of Ireland"
"Francie Donnelly","Q98266348","1987 United Kingdom general election","East Londonderry","Workers' Party of Ireland"
"Francie Donnelly","Q98266348","2001 United Kingdom general election","Mid Ulster","Workers' Party of Ireland"
"Francie Donnelly","Q98266348","2005 United Kingdom general election","Mid Ulster","Workers' Party of Ireland"
"Francie Donnelly","Q98266348","October 1974 United Kingdom general election","Mid Ulster","Workers' Party of Ireland"
"Francie McElroy",,,,
"Francis Donnelly","Q98266348","1979 European Parliament election in the United Kingdom","Northern Ireland","Workers' Party of Ireland"
"Francis Donnelly","Q98266348","1979 United Kingdom general election","Mid Ulster","Workers' Party of Ireland"
"Francis Donnelly","Q98266348","1983 United Kingdom general election","East Londonderry","Workers' Party of Ireland"
"Francis Donnelly","Q98266348","1987 United Kingdom general election","East Londonderry","Workers' Party of Ireland"
"Francis Donnelly","Q98266348","2001 United Kingdom general election","Mid Ulster","Workers' Party of Ireland"
"Francis Donnelly","Q98266348","2005 United Kingdom general election","Mid Ulster","Workers' Party of Ireland"
"Francis Donnelly","Q98266348","October 1974 United Kingdom general election","Mid Ulster","Workers' Party of Ireland"
"Francis McElwee",,,,
"Gary McCann",,,,
"George Logue",,,,
"Hanna Loughrin",,,,
"Hannah Loughrin",,,,
"Harry Hutchinson","Q98271947","1992 United Kingdom general election","Mid Ulster","Labour and Trade Union Group"
"Hugh McCloy",,,,
"Hugh Scullion","Q98271948","2015 United Kingdom general election","Mid Ulster","Workers' Party of Ireland"
"Ivan Barr",,,,
"James Holmes","Q98266415","1997 United Kingdom general election","East Londonderry","Northern Ireland Conservatives"
"Kathleen Lagan",,,,
"Liam McQuaid",,,,
"Margaret Marshall",,,,
"Mary Daly","Q98270900","1997 United Kingdom general election","Belfast West","Natural Law Party"
"Michael McDonald",,,,
"Néidín Hendron",,,,
"Paul McLean",,,,
"Samuel Glasgow",,,,
"Stefan Taylor",,,,
"Stephen McKenna",,,,
"Trevor Wilson",,,,
"Verdun Wright",,,,
"Yvonne Boyle","Q98266544","1997 United Kingdom general election","East Londonderry","Alliance Party of Northern Ireland"
"Yvonne Boyle","Q98266544","2001 United Kingdom general election","East Londonderry","Alliance Party of Northern Ireland"
"Yvonne Boyle","Q98266544","2003 Northern Ireland Assembly election","East Londonderry","Alliance Party of Northern Ireland"
"Yvonne Boyle","Q98266544","2005 United Kingdom general election","East Londonderry","Alliance Party of Northern Ireland"
"Yvonne Boyle","Q98266544","2007 Northern Ireland Assembly election","Foyle","Alliance Party of Northern Ireland"
"Yvonne Boyle","Q98266544","2015 United Kingdom general election","East Londonderry","Alliance Party of Northern Ireland"
"Yvonne Boyle","Q98266544","2016 Northern Ireland Assembly election","East Londonderry","Alliance Party of Northern Ireland"
