id,name,party,partyLabel,votes,election,electionLabel,ranking
Q6837191,Michelle O'Neill,Q76382,Sinn Féin,10258,Q28231972,2017 Assembly election,1
Q24088044,Keith Buchanan,Q215519,Democratic Unionist Party,9568,Q28231972,2017 Assembly election,2
Q24083708,Linda Dillon,Q76382,Sinn Féin,9032,Q28231972,2017 Assembly election,3
Q15054230,Ian Milne,Q76382,Sinn Féin,8553,Q28231972,2017 Assembly election,4
Q7148268,Patsy McGlone,Q175443,Social Democratic and Labour Party,8247,Q28231972,2017 Assembly election,5
Q7416726,Sandra Overend,Q841045,Ulster Unionist Party,7058,Q28231972,2017 Assembly election,6
,Hannah Loughrin,Q985076,Traditional Unionist Voice,1692,Q28231972,2017 Assembly election,7
,Fay Watson,Q244927,Alliance Party of Northern Ireland,1036,Q28231972,2017 Assembly election,8
,Hugh McCloy,Q327591,Independent politician,256,Q28231972,2017 Assembly election,9
,Stefan Taylor,Q1096979,Green Party in Northern Ireland,247,Q28231972,2017 Assembly election,10
,Hugh Scullion,Q1860218,Workers' Party of Ireland,222,Q28231972,2017 Assembly election,11
Q15054230,Ian Milne,Q76382,Sinn Féin,7035,Q16973450,2016 Assembly election,1
Q7148268,Patsy McGlone,Q175443,Social Democratic and Labour Party,6209,Q16973450,2016 Assembly election,2
Q6837191,Michelle O'Neill,Q76382,Sinn Féin,6147,Q16973450,2016 Assembly election,3
Q24083708,Linda Dillon,Q76382,Sinn Féin,5833,Q16973450,2016 Assembly election,4
Q7416726,Sandra Overend,Q841045,Ulster Unionist Party,6155.48,Q16973450,2016 Assembly election,5
Q24088044,Keith Buchanan,Q215519,Democratic Unionist Party,4566.61,Q16973450,2016 Assembly election,6
Q5982264,Ian McCrea,Q215519,Democratic Unionist Party,4405.99,Q16973450,2016 Assembly election,7
,Hanna Loughrin,Q985076,Traditional Unionist Voice,2046.68,Q16973450,2016 Assembly election,8
,Hugh Scullion,Q1860218,Workers' Party of Ireland,1778.95,Q16973450,2016 Assembly election,9
,Néidín Hendron,Q244927,Alliance Party of Northern Ireland,1162.57,Q16973450,2016 Assembly election,10
,Stefan Taylor,Q1096979,Green Party in Northern Ireland,727.47,Q16973450,2016 Assembly election,11
,Alan Day,Q10647,United Kingdom Independence Party,276.96,Q16973450,2016 Assembly election,12
Q57689,Martin McGuinness,Q76382,Sinn Féin,8957,Q7058474,2011 Assembly election,1
Q5982264,Ian McCrea,Q215519,Democratic Unionist Party,7127,Q7058474,2011 Assembly election,2
Q7148268,Patsy McGlone,Q175443,Social Democratic and Labour Party,6110,Q7058474,2011 Assembly election,3
Q7416726,Sandra Overend,Q841045,Ulster Unionist Party,7130,Q7058474,2011 Assembly election,4
Q6837191,Michelle O'Neill,Q76382,Sinn Féin,5735,Q7058474,2011 Assembly election,5
Q5479812,Francie Molloy,Q76382,Sinn Féin,5191,Q7058474,2011 Assembly election,6
Q15054230,Ian Milne,Q76382,Sinn Féin,4457,Q7058474,2011 Assembly election,7
Q7965634,Walter Millar,Q985076,Traditional Unionist Voice,2431,Q7058474,2011 Assembly election,8
,Austin Kelly,Q175443,Social Democratic and Labour Party,1429,Q7058474,2011 Assembly election,9
,Hugh McCloy,Q327591,Independent (politician),1207,Q7058474,2011 Assembly election,10
,Michael McDonald,Q244927,Alliance Party of Northern Ireland,417,Q7058474,2011 Assembly election,11
,Harry Hutchinson,Q3545406,People Before Profit Alliance,262,Q7058474,2011 Assembly election,12
,Gary McCann,Q327591,Independent (politician),256,Q7058474,2011 Assembly election,13
Q57689,Martin McGuinness,Q76382,Sinn Féin,8065,Q2562399,2007 Assembly election,1
Q5982264,Ian McCrea,Q215519,Democratic Unionist Party,7608,Q2562399,2007 Assembly election,2
Q5479812,Francie Molloy,Q76382,Sinn Féin,6597,Q2562399,2007 Assembly election,3
Q6837191,Michelle O'Neill,Q76382,Sinn Féin,6432,Q2562399,2007 Assembly election,4
